   1QSRCGSR     PASO        SAT177F59L  LF          Convenio - Estilos de temporada y de import
   1QSRCGSR     PASO        SAT177F59M  LF          Convenio - Marca, Recibo, Prv, Sty, Tpo
   1QSRCGSR     PASO        SAT177F593  LF          Convenio - Seleccion por Marca Tipo y fecha
   1QSRCGSR     PASO        SAT177F60   PF          Convenio Temporada - x Tienda calificación Melody
   1QSRCGSR     PASO        SAT177F60F  LF          Convenio - Marca, Fecha , Proveedor, Estilo
   1QSRCGSR     PASO        SAT177F60I  LF          Convenio - Estilos de temporada y de import
   1QSRCGSR     PASO        SAT177F60L  LF          Convenio - Estilos de temporada y de import
   1QSRCGSR     PASO        SAT177F61   PF          Convenio Temporada - Ordnes a Omitir en Calificaci
   1QSRCGSR     PASO        SAT177F62   PF          Convenio Temporada - Catalgo de Plazas
   1QSRCGSR     PASO        SAT177F63   PF          Convenio Temporada - Zona/Plaza
   1QSRCGSR     PASO        SAT177F64   PF          Convenio Temporada - Relacion de Prov-Estilo Fecha
   1QSRCGSR     PASO        SAT177F65   PF          Convenio Temporada - Tabla de puntos
   1QSRCGSR     PASO        SAT177F66   PF          Convenio Temporada - Tabla de Valores por Califica
   1QSRCGSR     PASO        SAT177F68   PF          Convenio Temporada - Resumen x Calificación
   1QSRCGSR     PASO        SAT177F75   PF          Convenio Diferenciado - Administración
   1QSRCGSR     PASO        SAT177F76   PF          Convenio Diferenciado - Resumen
   1QSRCGSR     PASO        SAT177F77   PF          Convenio Diferenciado - Resumen por Tienda
   1QSRCGSR     PASO        SAT177F78   PF          Convenio Diferenciado - Seleccion por usuario
   1QSRCGSR     PASO        SAT177F91   PF          libre
   1QSRCGSR     PASO        SAT177F92   PF          Eventos de Precio x tienda
   1QSRCGSR     PASO        SAT177F93   PF          Eventos de Precio x tienda
   1QSRCGSR     PASO        SAT177F98   PF          Control de Folios CXP
   1QSRCGSR     PASO        SAT177F99   PF          Documentos Confirmados para el proveedor
   1QSRCGSR     PASO        SAT177L55   LF          Facturas x Tienda
   1QSRCGSR     PASO        SAT177L551  LF          Facturas x Tienda
   1QSRCGSR     PASO        SAT177RA01  RPGLE       Carga estilos MILANO global Devoluciones
   1QSRCGSR     PASO        SAT177RT01  RPGLE       Convenio - Actualizacion Tabla de accion Masivo
   1QSRCGSR     PASO        SAT177RT02  RPGLE       Convenio - Actualizacion Tabla de accion Masivo
   1QSRCGSR     PASO        SAT177RY15  RPGLE       Correccion de Marca
   1QSRCGSR     PASO        SAT177R001  RPGLE       Convenio Temporada - Carga de calificaciones
   1QSRCGSR     PASO        SAT177R002  RPGLE       Convenio Temporada - Carga de calificaciones
   1QSRCGSR     PASO        SAT177R003  RPGLE       Convenio Temporada - Carga de Bonificación por Omi
   1QSRCGSR     PASO        SAT177R004  RPGLE       Convenio Temporada - Omitir Estilos de Excel Raul
   1QSRCGSR     PASO        SAT177R005  RPGLE       Convenio - Carga Ordenes de Postergar
   1QSRCGSR     PASO        SAT177R006  RPGLE       Convenio Temporada - Omitir Mario
   1QSRCGSR     PASO        SAT177R007  RPGLE       Convenio Temporada - Recalculo Omision
   1QSRCGSR     PASO        SAT177R008  RPGLE       Convenio Temporada - Carga estilos grpo
   1QSRCGSR     PASO        SAT177R009  SQLRPGLE    Convenio - Carga estilos para rebaja diferenciada
006 31/08/19  11:04:31                                                                     PÁGINA    5
   2Archivo     Biblioteca  Miembro     Tipo        TEXT
   1                                    Fuente      Texto'descripción'
   2QSRCGSR     PASO        SAT177R010  RPGLE       Carga estilos Home
   1QSRCGSR     PASO        SAT177R011  RPGLE       Carga estilos Home %
   1QSRCGSR     PASO        SAT177R013  RPGLE       Carga estilos MILANO DE MELODY
   1QSRCGSR     PASO        SAT177R014  RPGLE       Carga estilos milano Precios
   1QSRCGSR     PASO        SAT177R015  RPGLE       Carga estilos MILANO global
   1QSRCGSR     PASO        SAT177R016  RPGLE       Elimina etiquetados
   1QSRCGSR     PASO        SAT177R017  SQLRPGLE    Carga estilos MILANO ESTILOS 180-240
   1QSRCGSR     PASO        SAT177R20   RPGLE       Convenio - Bonificaciones x omision
   1QSRCGSR     PASO        SAT177R23   RPGLE       Convenio - Calculo de Nota de Crédito
   1QSRCGSR     PASO        SAT177R23B  RPGLE       Convenio - Calculo de Nota de Crédito
   1QSRCGSR     PASO        SAT177R23D  SQLRPGLE    Convenio - Estilos para carga masiva con ultimoPre
   1QSRCGSR     PASO        SAT177R23E  SQLRPGLE    Convenio - Estilos para carga masiva Faltantes
   1QSRCGSR     PASO        SAT177R23F  RPGLE       Convenio - Estilos para carga masiva 15_01_2019
   1QSRCGSR     PASO        SAT177R23G  RPGLE       Convenio - Carga Masiva 15_01_2019
   1QSRCGSR     PASO        SAT177R23I  RPGLE       Convenio - Carga dif x tienda Carga Estilos y Tda
   1QSRCGSR     PASO        SAT177R23K  RPGLE       Convenio-Estilos para carga masiva INVERNAL 180117
   1QSRCGSR     PASO        SAT177R23P  RPGLE       Convenio - Aplica x tienda Carga Estilos y Tda
   1QSRCGSR     PASO        SAT177R23W  SQLRPGLE    Convenio - Estilos para carga masiva con ultimoPre
   1QSRCGSR     PASO        SAT177R23X  SQLRPGLE    Convenio - Estilos para carga masiva con ultimoPre
   1QSRCGSR     PASO        SAT177R23Z  RPGLE       Convenio - Estilos para carga masiva 28_02_2019
   1QSRCGSR     PASO        SAT177R231  RPGLE       Convenio - Calculo de Nota de Crédito anticipada
   1QSRCGSR     PASO        SAT177R232  RPGLE       Convenio - Libre
   1QSRCGSR     PASO        SAT177R233  RPGLE       Convenio - Calculo diferenciado por tienda
   1QSRCGSR     PASO        SAT177R24D  RPGLE       Convenio - Carga para Etiquetas Diferenciadas
   1QSRCGSR     PASO        SAT177R26C  RPGLE       Convenio - Proceso Msivo Precios Diferenciados
   1QSRCGSR     PASO        SAT177R26D  RPGLE       Convenio - Carga para Precios Diferenciados
   1QSRCGSR     PASO        SAT177R29F  RPGLE       Convenio - Envio de Correos Diferenciados
   1QSRCGSR     PASO        SAT177R35D  RPGLE       Convenio - Carga PDF Diferenciados
   1QSRCGSR     PASO        SAT177R37D  RPGLE       Convenio - Actualizacion Tabla de accion Diferenci
   1QSRCGSR     PASO        SAT177R4XA  RPGLE       Convenio Temporada - Elimina Duplicados
   1QSRCGSR     PASO        SAT177R4XX  RPGLE       Convenio Temporada - Carga Temporadas
   1QSRCGSR     PASO        SAT177R54   RPGLE       Convenio Temporada - Calendario de Programacion
   1QSRCGSR     PASO        SAT177R55   RPGLE       Convenio Temporada - Eventos de Calificacion
   1QSRCGSR     PASO        SAT177R59   RPGLE       Convenio Temporada - Obtiene Parametros de Calific
   1QSRCGSR     PASO        SAT177R59A  RPGLE       Convenio Temporada - Elimina Rebajas con Resur/OO
   1QSRCGSR     PASO        SAT177R60   SQLRPGLE    Convenio Temporada - Califica 180108
   1QSRCGSR     PASO        SAT177R60B  SQLRPGLE    Convenio Temporada - Califica 170530
